Team,Previous Appearances,Previous Titles,Previous Finals,Previous Semifinals,Current Rank
England,11,0,3,5,1
South Africa,6,0,0,4,4
West Indies,11,2,3,4,9
Pakistan,11,1,2,6,6
New Zealand,11,0,1,7,3
Sri Lanka,11,1,3,4,8
Afghanistan,1,0,0,0,10
Australia,11,5,6,7,5
Bangladesh,5,0,0,0,7
India,11,2,3,6,2
